bloco,grupo,metrica,tipo,n_sujeitos,epocas_min,epocas_mediana,auc_media,auc_mediana,auc_dp,ic95_low,ic95_high,frac_sujeitos_acima_05,p_wilcoxon,p_ttest,q_fdr_bloco,auc_antiga_pooled,p_antigo_bootstrap
sono,todos,lzc,bruta,36,128,312,0.9912143713886752,0.9988242509744099,0.018981816350457436,0.9844409413624408,0.9964269227729504,1.0,1.6547827528754478e-07,2.813897343523791e-51,4.964348258626343e-07,0.992,0.0
sono,todos,lzc,resid_1f_in_sample,36,128,312,0.4951206287587706,0.5329516064266,0.2264019421356197,0.4231898896278952,0.5684711652405579,0.5555555555555556,0.9814318742428441,0.8978519594776908,0.9814318742428441,0.55,0.28
sono,todos,lzc,resid_1f_out_of_sample,36,128,312,0.5001081628486433,0.5285902378848754,0.23457365271431332,0.42502843727630324,0.5770791115140317,0.5555555555555556,0.9566913228773046,0.9978082654884126,0.9814318742428441,0.554,0.28
sono,todos,pe,bruta,36,128,312,0.9909019225509527,0.9996489585937525,0.018252852539425907,0.9845530213155544,0.9960985167409868,1.0,1.310221892445639e-07,7.320302917424954e-52,4.913332096671146e-07,0.984,0.0
sono,todos,pe,resid_1f_in_sample,36,128,312,0.5463015843328126,0.6067878440050523,0.27795424417162723,0.45432801468423645,0.6346486598723704,0.5555555555555556,0.307420506287599,0.32442285074796556,0.5123675104793316,0.58,0.19
sono,todos,pe,resid_1f_out_of_sample,36,128,312,0.5468400212647592,0.6268830902678754,0.2845145780306102,0.4564544096474173,0.6351723442517722,0.5555555555555556,0.30002931610215455,0.33003631789742754,0.5123675104793316,,
sono,todos,sync_bruta,bruta,36,128,312,0.13984480603600088,0.08487028867552115,0.1554375186767796,0.09267505743710952,0.19249752746057214,0.05555555555555555,2.0372681319713593e-10,8.111401967628444e-16,1.5279510989785194e-09,,
sono,todos,sync_bruta,resid_1f_in_sample,36,128,312,0.4505143781809173,0.46236903681329744,0.26786181198777503,0.365168564823491,0.5360355866257139,0.4166666666666667,0.30002931610215455,0.2752229173592885,0.5123675104793316,,
sono,todos,sync_bruta,resid_1f_out_of_sample,36,128,312,0.45049393537704624,0.479747128343177,0.2708798130301446,0.36266744541476675,0.537361898292977,0.4444444444444444,0.27855437609832734,0.28032087840663944,0.5123675104793316,,
sono,todos,integracao_mi,bruta,36,128,312,0.18043316269988355,0.14541212941353587,0.15334380987660304,0.1330668908597483,0.23051475558424406,0.027777777777777776,1.4551915228366852e-10,1.8085703111499316e-14,1.5279510989785194e-09,,
sono,todos,integracao_mi,resid_1f_in_sample,36,128,312,0.49138147034944574,0.49031185143224587,0.27900570771207917,0.40128493141296245,0.5807595135915748,0.4722222222222222,0.8828056627244223,0.8540315422951911,0.9814318742428441,,
sono,todos,integracao_mi,resid_1f_out_of_sample,36,128,312,0.493135765744191,0.5017470022825211,0.2781412060887905,0.4047432850837205,0.5828595551145433,0.5,0.9196639081637841,0.8831343814297798,0.9814318742428441,,
sono,todos,indice_integ_diferenciada,bruta,36,128,312,0.20120289546784964,0.17111786153628628,0.16345487276903586,0.14929365131767638,0.2537424883860243,0.05555555555555555,4.0745362639427185e-10,7.156107935221531e-13,2.0372681319713593e-09,,
sono,todos,indice_integ_diferenciada,resid_1f_in_sample,36,128,312,0.48296557067269547,0.48249151634263865,0.27299721773686014,0.396006392971641,0.5709408631800853,0.4444444444444444,0.7740053430898115,0.7103752874921381,0.9814318742428441,,
sono,todos,indice_integ_diferenciada,resid_1f_out_of_sample,36,128,312,0.4837940386477466,0.4866056820327531,0.2751088104266172,0.39505745602073206,0.5716104996797138,0.4444444444444444,0.80990211723838,0.7258751659981848,0.9814318742428441,,
sono-multi,todos,lzc_mean_channels,bruta,36,128,312,0.9912143713886752,0.9988242509744099,0.018981816350457436,0.9844717226953125,0.9965045633210814,1.0,1.6547827528754478e-07,2.813897343523791e-51,4.964348258626343e-07,,
sono-multi,todos,lzc_mean_channels,resid_1f_in_sample,36,128,312,0.4951206287587706,0.5329516064266,0.2264019421356197,0.4234502075718366,0.5689266316463135,0.5555555555555556,0.9814318742428441,0.8978519594776908,0.9938101398292929,,
sono-multi,todos,lzc_mean_channels,resid_1f_out_of_sample,36,128,312,0.4979966750824177,0.5403090007949234,0.2265251236676854,0.4251923461361468,0.5701487290602432,0.5833333333333334,0.9938101398292929,0.9579839647523907,0.9938101398292929,,
sono-multi,todos,lzc_multivariado,bruta,36,128,312,0.9910413053067582,0.9987281699766983,0.01954809037524899,0.9839340062908236,0.9964447740829622,1.0,1.6547827528754478e-07,7.958614348389365e-51,4.964348258626343e-07,0.992,0.0
sono-multi,todos,lzc_multivariado,resid_1f_in_sample,36,128,312,0.4940899869636097,0.52908870861451,0.22683607739344752,0.4214633944484414,0.5684824951393946,0.5277777777777778,0.9196639081637841,0.8766753223173459,0.9938101398292929,,
sono-multi,todos,lzc_multivariado,resid_1f_out_of_sample,36,128,312,0.4940756127157209,0.5264886420610128,0.22475209000624988,0.42165038921435943,0.5665164672142483,0.5555555555555556,0.9319914075895213,0.8752413628223222,0.9938101398292929,0.549,0.375
anestesia,todos,lzc,bruta,20,58,77,0.7022761331857696,0.9003260165213041,0.3393487322598777,0.554042386276858,0.8418937813753945,0.65,0.00633256403632861,0.015276557180390848,0.01899769210898583,0.669,0.004
anestesia,todos,lzc,resid_1f_in_sample,20,58,77,0.8910299028205333,0.9525048339935861,0.18184264049032517,0.8007429471314447,0.9552361343129617,0.95,0.00016072266294322112,9.839433036864353e-09,0.0010986328125,0.832,0.0
anestesia,todos,lzc,resid_1f_out_of_sample,20,58,77,0.8851921427543555,0.9584076117713639,0.18741224163546333,0.796324314255925,0.9514192962842513,0.95,0.00018658224527235228,2.009589077203186e-08,0.0010986328125,0.829,0.0
anestesia,todos,pe,bruta,20,58,77,0.548394511247541,0.5269318289002075,0.3672491277287675,0.38774779600843146,0.7010213926771809,0.55,0.5958194732666016,0.5625898927896474,0.5958194732666016,0.547,0.511
anestesia,todos,pe,resid_1f_in_sample,20,58,77,0.5816267047927102,0.7603391232423491,0.3972495786002867,0.4100696714906733,0.7449645728813203,0.55,0.38837623596191406,0.3696501182223474,0.4909172058105469,,
anestesia,todos,pe,resid_1f_out_of_sample,20,58,77,0.5811302363728134,0.7616790948502407,0.39235676987591794,0.4098575958176103,0.7465023695719682,0.55,0.40909767150878906,0.36670109666104533,0.4909172058105469,0.61,0.095
anestesia,responsive,lzc,bruta,13,63,79,0.8972906570708001,0.9390243902439024,0.20811430339303977,0.7765787815923334,0.9718950370768902,0.9230769230769231,0.00048828125,1.691207084240883e-05,0.0017578125,0.791,0.0
anestesia,responsive,lzc,resid_1f_in_sample,13,63,79,0.934793391617965,0.9737335834896811,0.09120390138679317,0.8840273316355062,0.9776310014427742,1.0,0.000244140625,8.112501382058073e-10,0.0010986328125,,
anestesia,responsive,lzc,resid_1f_out_of_sample,13,63,79,0.9321800686625435,0.9737335834896811,0.10174519683314452,0.8724526224622359,0.978611411858685,1.0,0.000244140625,3.063194669669112e-09,0.0010986328125,0.89,0.0
anestesia,responsive,pe,bruta,13,63,79,0.6877937161354495,0.8036272670419012,0.34576608434175915,0.4986503585614514,0.8566270823019595,0.7692307692307693,0.068115234375,0.07385632797958272,0.13623046875,,
anestesia,responsive,pe,resid_1f_in_sample,13,63,79,0.6240736221507083,0.7773608505315822,0.3728222015422704,0.4242250002879305,0.8114434256501114,0.6153846153846154,0.167724609375,0.2533276795623364,0.2515869140625,,
anestesia,responsive,pe,resid_1f_out_of_sample,13,63,79,0.6175301985152379,0.7861163227016885,0.3797382169960136,0.4104327159265938,0.8074401163094821,0.6153846153846154,0.243896484375,0.2863002718753714,0.3377028245192308,,
